SAAB TYRES,,,
K P ROAD,,,
CHARUMMOODU,,,
"Contact : 0479-2383020,9447083020",,,
Stock Summary,,,
1-Apr-2023 to 24-Apr-2023,,,
,SAAB TYRES,,
Particulars,1-Apr-2023 to 24-Apr-2023,,
,Stock details for : Our Stock with us & Third Party,,
,Closing Balance,,
,Quantity,Rate,Value
10.00-20 MT INS TUBE,20 PC,1020.19,20403.75
10.00-20 MT TUBE,13 PC,1006.78,13088.19
10.00-20 SL50+ R N16,2 PC,13610.00,27220.00
10.00-20 SM909 N16,18 PC,12508.65,225155.61
10.00-R20 H INS TUBE,25 PC,1100.70,27517.50
10.00-R20 H TUBE,2 PC,1090.38,2180.76
10.00R20 S3C8 PLUS R16 TT,24 PC,17772.39,426537.24
100/80-12 56L Zapper FN T,5 PC,1109.16,5545.79
100/80-17 52P NGP ZFX-1 TL,7 PC,1203.74,8426.20
100/90-17 55P MGP MET TL,3 PC,1319.86,3959.57
100/90-17 55P MGP MOTO-D,4 PC,1047.00,4188.00
100/90-17 55P NGP ZRC1 TL,5 PC,1238.76,6193.80
100/90-17 55P NGP ZRC TT,6 PC,1120.44,6722.62
100/90-17 INS TUBE,12 PC,199.19,2390.26
100/90-18 56P MGP MET TL,3 PC,1308.88,3926.63
100/90-18 56P NGP ZRY N6,9 PC,1091.36,9822.27
100/90-18 56P NGP ZRY TL,6 PC,1208.28,7249.67
100/90-18 INS TUBE,10 PC,199.31,1993.05
100/90 18  TUBE,1 PC,199.31,199.31
100/90-19 ZAPPER-FS TL,1 PC,1407.00,1407.00
100/90-19 ZPR KURVE-F TL,1 PC,1575.00,1575.00
11.00-20 MT INS TUBE,-2 PC,,
11.00-20 SUPERMILER99 N16,-2 PC,,
11.00R20 150/147K S1M4+ TT,-5 PC,16492.67,-82463.36
11.00-R20 INS TUBE,-2 PC,1219.33,-2438.65
1100R20 S3C8 PLUS R16 TTF,3 Nos,16064.53,48193.58
110/70-11 45L NGP ZFG TL,3 PC,806.67,2420.00
110/70-12 47P ZAPPER-N TL,1 PC,1135.00,1135.00
110/70-17 ZPR KURVE F TL,1 PC,1377.20,1377.20
110/80-12 61L Zapper- N TL,2 PC,1247.34,2494.67
110/80-17 57P ZRC TL,3 PC,1235.75,3707.24
110/90-10 ZAPPER TL,4 PC,1378.63,5514.50
110/90-18 61P NGP ZRQ TT,7 PC,1336.26,9353.84
110/90-18 INS TUBE,8 PC,182.89,1463.12
110/90-19 62P MGP MET TT,7 PC,1436.41,10054.86
110/90-19 INS TUBE,7 PC,225.00,1575.00
11/12 00 20 NPR INS FLAP,-4 PC,478.19,-1912.76
120/70-10 54L NGP ZPR TL,1 PC,986.84,986.84
120/70-14 55P NGP ZPR TL,4 Nos,1219.82,4879.27
120/80-12 ZAPER-V TL,2 PC,1398.00,2796.00
120/80-16 60P ZPR KURVE TL,2 PC,1438.34,2876.67
120/80-17 61P MGP MET-M TL,4 PC,1910.00,7640.00
120/80-17 61P ZRC TL EXP,5 PC,1574.85,7874.24
120/80-18 62P MGP MET-M TL,3 PC,1839.00,5517.00
120/80-18 62P ZRC TT,6 PC,1364.47,8186.80
120/80-18 INS TUBE,5 PC,247.03,1235.15
130/70-17 62P  ZRS1 TL,2 PC,1725.00,3450.00
130/70-18 63H NGP ZRY TL,3 PC,1791.00,5373.00
130/80-12 ZAPPER V TL,2 PC,1550.00,3100.00
130/90-15 66P NGP ZRY TT,1 PC,1368.00,1368.00
130/90-15 INS TUBE,1 PC,240.99,240.99
135/70R12 65S  ZEC TL,5 PC,1417.06,7085.29
140/60-17 63P MSR-Y TL,-2 PC,,
140/60R17 63P REVZ-Y TL,2 PC,2184.60,4369.20
140/60R17 REVZ-M  TL,1 PC,2189.00,2189.00
140/70-17 66S MGP MET-M TL,1 PC,2270.50,2270.50
140/70-17 66S NGP ZRS1 TL,2 PC,2160.00,4319.99
145/70R12 69S ZCC TT,3 PC,1540.47,4621.42
145/70R12 69S ZVT TL,2 PC,1641.00,3282.00
145/70 R12 INS TUBE,72 PC,290.37,20906.75
145/70 R12 TUBE,-2 PC,,
145/70R13 71S ZVTSM TT,-1 PC,1479.43,-1479.43
145/70 R13 INS TUBE,2 PC,259.55,519.10
145/70 R13 ZVTS X1 TL,6 PC,2054.69,12328.15
145/70R13 ZVTS X1 TT,3 PC,1771.00,5313.00
145/80R12 74S ZVTS TT,-1 PC,1466.00,-1466.00
145/80R12 74T ZLX TL,1 PC,2015.00,2015.00
145/80R12 74TZTX TL,5 PC,1901.26,9506.29
145/80 R12 TUBE,-1 PC,,
145/80R12 ZVTS X1 TL,16 PC,1876.20,30019.17
145/80R12 ZVTS X1 TT,6 PC,1675.13,10050.79
145/80R13 75S ZVTS TL,-1 PC,1751.00,-1751.00
145/80R13 75T ZTX-A1 TL,2 PC,2188.00,4376.00
145/80 R13 INS TUBE,-1 PC,,
145/80 R13 ZVTS-X1 TL,2 PC,2022.93,4045.85
145R12LT 80/78Q MMT XA1 TT,5 PC,1775.54,8877.71
145R12LT 86/84Q SMR M154 TT,2 PC,1695.71,3391.42
145R12 LT MMTXA1 TL,11 PC,1814.57,19960.22
150/70-17 69h ZPR KURVE T,2 PC,2625.00,5250.00
155/65R12 71S ZEC TL,2 PC,1723.86,3447.71
155/65 R13 TUBE,-1 PC,,
155/65R13 ZVTS X1 TL,6 PC,2214.18,13285.09
155/65R14 75S ZVTS A1 TL,3 PC,2325.06,6975.17
155/70R13 75T ZTX-A1 TL,-1 PC,2283.00,-2283.00
155/70 R13 SV INS TUBE,5 PC,268.21,1341.07
155/70R13 ZVTS X1 TL,5 PC,2152.59,10762.94
155/70 R13 ZVTS X1 TT,2 PC,1973.67,3947.33
155/80 R13 INS TUBE,2 PC,276.00,552.00
155/80R13 ZVTS X1 TL,7 PC,2497.00,17479.00
155D12LT SVL N8 88/86K,3 PC,1999.41,5998.22
155D12LT SVR N8 88/86K,11 PC,1963.69,21600.61
155R13LT 90/89L M154 TL,4 PC,2718.08,10872.30
155R13LT 90/89L  SMR-M154,2 PC,2582.00,5164.00
165/65R13 77T ZTX-A1 TL,1 PC,2337.00,2337.00
165/70R14 81S ZVTV A1 TL,4 Nos,2077.80,8311.20
165/70R14 81S ZVTV TL,-1 PC,1958.00,-1958.00
165/80R14 85T ZTX-A1 TL,2 Nos,2546.21,5092.42
165/80R14 85T ZVTV A4 RN,7 PC,2483.66,17385.59
165/80 R14 INS TUBE,1 PC,298.90,298.90
165/80R15 86S ZVTS TT,2 PC,2697.00,5394.00
165/80 R15 INS TUBE,2 PC,381.69,763.37
165D12 LT SAVARI N8,1 PC,2257.00,2257.00
165D13LT SVR N8,4 PC,2181.75,8727.00
165D14LT SVL N8,2 PC,2891.57,5783.14
165D14LT SVR N8 97/95K,8 PC,2622.05,20976.40
165R14LT 97/95Q SMR M154 TT,2 PC,2544.74,5089.47
175/65R14 82H ZVTV-A1 TLS,6 PC,3226.59,19359.51
175/65R15 84T ZVTV A2 TL,6 PC,3204.07,19224.41
175/70R14 84H ZTX-A1 TL,1 PC,3167.00,3167.00
175/70R14 84H ZVTV TL,-2 PC,2635.00,-5270.00
175/70R14 84T ZVTV TL,4 PC,2931.25,11725.00
185/65R14 86H ZVTS A1 TL,3 PC,3073.00,9219.00
185/65R15 88H ZTX-A1 TL,10 PC,3638.88,36388.79
185/65R15 88T ZVTV-A1 STL,9 PC,3423.37,30810.33
185/70R14 88S ZV2K TL,-2 PC,2827.00,-5654.00
185/70R14 ZTX--A1 TL,7 PC,3146.46,22025.25
185D14LT 102/100K SVL N8,4 PC,3100.66,12402.64
185D14LT SVR N8 102/100K,9 PC,3342.21,30079.88
185R14LT SMR M151 TL,2 PC,3877.99,7755.97
195/55R16 87V PERFINZA TL,4 PC,5418.00,21672.00
195/65R15 91V PERFINZA CLX1 TL,-1 PC,4267.00,-4267.00
195/80D15LT SL50+ R N8,2 PC,4220.00,8440.00
195/80 R15 TUBE,-2 PC,,
195R15LT 107/105Q SMR-M160 TT,2 PC,4576.00,9152.00
